127.0.0.1 - - [26/May/2022:02:03:18 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [26/May/2022:02:03:29 +0530] "GET /Grocery/assets/CSS/popupStyle.css HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [26/May/2022:02:03:29 +0530] "GET /Grocery/style.css HTTP/1.1" 200 16219
0:0:0:0:0:0:0:1 - - [26/May/2022:02:03:29 +0530] "GET /Grocery/pages/ShopingListPage/style.css HTTP/1.1" 200 3259
0:0:0:0:0:0:0:1 - - [26/May/2022:02:03:29 +0530] "GET /Grocery/assets/icons/Logo%20(2).svg HTTP/1.1" 200 4879
0:0:0:0:0:0:0:1 - - [26/May/2022:02:03:29 +0530] "GET /Grocery/assets/image/img2.png HTTP/1.1" 200 176227
0:0:0:0:0:0:0:1 - - [26/May/2022:02:03:29 +0530] "GET /Grocery/assets/image/img3.png HTTP/1.1" 200 252302
0:0:0:0:0:0:0:1 - - [26/May/2022:02:03:29 +0530] "GET /Grocery/assets/image/img1.png HTTP/1.1" 200 1018048
0:0:0:0:0:0:0:1 - - [26/May/2022:02:03:29 +0530] "GET /Grocery/assets/image/img4.png HTTP/1.1" 200 866987
0:0:0:0:0:0:0:1 - - [26/May/2022:02:03:29 +0530] "GET /Grocery/assets/icons/cart.svg HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [26/May/2022:02:03:29 +0530] "GET /Grocery/assets/image/img5.png HTTP/1.1" 200 182629
0:0:0:0:0:0:0:1 - - [26/May/2022:02:03:29 +0530] "GET /Grocery/assets//image/vecteezy_frame-of-healthy-foods_2032341.jpg HTTP/1.1" 200 26348733
0:0:0:0:0:0:0:1 - - [26/May/2022:02:03:29 +0530] "GET /Grocery/assets/image/vecteezy_colorful-ingredients-for-healthy-smoothies_2054886.jpg HTTP/1.1" 200 24212410
0:0:0:0:0:0:0:1 - - [26/May/2022:02:03:29 +0530] "GET /Grocery/index.jsp HTTP/1.1" 200 20711
0:0:0:0:0:0:0:1 - - [26/May/2022:02:03:30 +0530] "GET /Grocery/assets/image/dairy.png HTTP/1.1" 200 471378
0:0:0:0:0:0:0:1 - - [26/May/2022:02:03:30 +0530] "GET /Grocery/assets/icons/right-arrow.png HTTP/1.1" 200 2601
0:0:0:0:0:0:0:1 - - [26/May/2022:02:03:30 +0530] "GET /Grocery/assets/JS/loginPopupFrame.js HTTP/1.1" 200 842
0:0:0:0:0:0:0:1 - - [26/May/2022:02:03:30 +0530] "GET /Grocery/localDatabase.js HTTP/1.1" 200 2415
0:0:0:0:0:0:0:1 - - [26/May/2022:02:03:30 +0530] "GET /Grocery/script.js HTTP/1.1" 200 3528
0:0:0:0:0:0:0:1 - - [26/May/2022:02:03:30 +0530] "GET /Grocery/assets/image/home/banner.jpeg HTTP/1.1" 200 103862
0:0:0:0:0:0:0:1 - - [26/May/2022:02:03:30 +0530] "GET /Grocery/assets/image/borderCs.svg HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [26/May/2022:02:03:31 +0530] "GET /Grocery/pages/Login%20Page/index.jsp HTTP/1.1" 200 2077
0:0:0:0:0:0:0:1 - - [26/May/2022:02:03:32 +0530] "GET /Grocery/pages/Login%20Page/assets/images/loginImg.png HTTP/1.1" 200 90806
0:0:0:0:0:0:0:1 - - [26/May/2022:02:03:32 +0530] "GET /Grocery/pages/Login%20Page/style.css HTTP/1.1" 200 2835
0:0:0:0:0:0:0:1 - - [26/May/2022:02:03:32 +0530] "GET /Grocery/pages/Login%20Page/loginSignUp.js HTTP/1.1" 200 1225
0:0:0:0:0:0:0:1 - - [26/May/2022:02:03:32 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [26/May/2022:02:03:48 +0530] "GET /Grocery/index.jsp HTTP/1.1" 200 20711
0:0:0:0:0:0:0:1 - - [26/May/2022:02:03:48 +0530] "GET /Grocery/style.css HTTP/1.1" 200 16219
0:0:0:0:0:0:0:1 - - [26/May/2022:02:03:48 +0530] "GET /Grocery/assets/CSS/popupStyle.css HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [26/May/2022:02:03:48 +0530] "GET /Grocery/pages/ShopingListPage/style.css HTTP/1.1" 200 3259
0:0:0:0:0:0:0:1 - - [26/May/2022:02:03:48 +0530] "GET /Grocery/script.js HTTP/1.1" 200 3528
0:0:0:0:0:0:0:1 - - [26/May/2022:02:03:48 +0530] "GET /Grocery/localDatabase.js HTTP/1.1" 200 2415
0:0:0:0:0:0:0:1 - - [26/May/2022:02:03:48 +0530] "GET /Grocery/assets/JS/loginPopupFrame.js HTTP/1.1" 200 842
0:0:0:0:0:0:0:1 - - [26/May/2022:02:03:48 +0530] "GET /Grocery/assets/icons/Logo%20(2).svg HTTP/1.1" 200 4879
0:0:0:0:0:0:0:1 - - [26/May/2022:02:03:48 +0530] "GET /Grocery/assets/icons/cart.svg HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [26/May/2022:02:03:48 +0530] "GET /Grocery/assets/image/img5.png HTTP/1.1" 200 182629
0:0:0:0:0:0:0:1 - - [26/May/2022:02:03:48 +0530] "GET /Grocery/assets/image/img3.png HTTP/1.1" 200 252302
0:0:0:0:0:0:0:1 - - [26/May/2022:02:03:48 +0530] "GET /Grocery/assets/image/img4.png HTTP/1.1" 200 866987
0:0:0:0:0:0:0:1 - - [26/May/2022:02:03:48 +0530] "GET /Grocery/pages/Login%20Page/index.jsp HTTP/1.1" 200 2077
0:0:0:0:0:0:0:1 - - [26/May/2022:02:03:48 +0530] "GET /Grocery/assets/image/img2.png HTTP/1.1" 200 176227
0:0:0:0:0:0:0:1 - - [26/May/2022:02:03:48 +0530] "GET /Grocery/assets/image/img1.png HTTP/1.1" 200 1018048
0:0:0:0:0:0:0:1 - - [26/May/2022:02:03:48 +0530] "GET /Grocery/assets/image/dairy.png HTTP/1.1" 200 471378
0:0:0:0:0:0:0:1 - - [26/May/2022:02:03:48 +0530] "GET /Grocery/assets/icons/right-arrow.png HTTP/1.1" 200 2601
0:0:0:0:0:0:0:1 - - [26/May/2022:02:03:48 +0530] "GET /Grocery/pages/Login%20Page/style.css HTTP/1.1" 200 2835
0:0:0:0:0:0:0:1 - - [26/May/2022:02:03:48 +0530] "GET /Grocery/pages/Login%20Page/assets/images/loginImg.png HTTP/1.1" 200 90806
0:0:0:0:0:0:0:1 - - [26/May/2022:02:03:48 +0530] "GET /Grocery/pages/Login%20Page/loginSignUp.js HTTP/1.1" 200 1225
0:0:0:0:0:0:0:1 - - [26/May/2022:02:03:48 +0530] "GET /Grocery/assets/image/borderCs.svg HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [26/May/2022:02:03:48 +0530] "GET /Grocery/assets/image/vecteezy_colorful-ingredients-for-healthy-smoothies_2054886.jpg HTTP/1.1" 200 24212410
0:0:0:0:0:0:0:1 - - [26/May/2022:02:03:48 +0530] "GET /Grocery/assets//image/vecteezy_frame-of-healthy-foods_2032341.jpg HTTP/1.1" 200 26348733
0:0:0:0:0:0:0:1 - - [26/May/2022:02:03:48 +0530] "GET /Grocery/assets/image/home/banner.jpeg HTTP/1.1" 200 103862
0:0:0:0:0:0:0:1 - - [26/May/2022:02:03:49 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [26/May/2022:02:04:58 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [26/May/2022:02:05:22 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [26/May/2022:02:05:36 +0530] "GET /Grocery/pages/ShopingListPage/index.jsp?c=Essential&s=Dals%20And%20Pulse&q=Dals%20And%20Pulse HTTP/1.1" 200 17290
0:0:0:0:0:0:0:1 - - [26/May/2022:02:05:37 +0530] "GET /Grocery/pages/ShopingListPage/script.js HTTP/1.1" 200 4252
0:0:0:0:0:0:0:1 - - [26/May/2022:02:05:37 +0530] "GET /Grocery/assets/icons/arrow-down-sign-to-navigate.png HTTP/1.1" 200 2639
0:0:0:0:0:0:0:1 - - [26/May/2022:02:05:37 +0530] "GET /Grocery/pages/Login%20Page/index.jsp HTTP/1.1" 200 2077
0:0:0:0:0:0:0:1 - - [26/May/2022:02:05:37 +0530] "GET /Grocery/assets/storageImage/2.webp HTTP/1.1" 200 21504
0:0:0:0:0:0:0:1 - - [26/May/2022:02:05:37 +0530] "GET /Grocery/assets/storageImage/1.webp HTTP/1.1" 200 18984
0:0:0:0:0:0:0:1 - - [26/May/2022:02:05:37 +0530] "GET /Grocery/assets/storageImage/3.webp HTTP/1.1" 200 15326
0:0:0:0:0:0:0:1 - - [26/May/2022:02:05:37 +0530] "GET /Grocery/assets/storageImage/4.webp HTTP/1.1" 200 17798
0:0:0:0:0:0:0:1 - - [26/May/2022:02:05:37 +0530] "GET /Grocery/assets/storageImage/7.webp HTTP/1.1" 200 12894
0:0:0:0:0:0:0:1 - - [26/May/2022:02:05:37 +0530] "GET /Grocery/assets/storageImage/6.webp HTTP/1.1" 200 14802
